date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup,station_id,city_name,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10055,Sorø,Winter,1.4,0.7,2.8,0.0,0.0,318.0,23.0,46.4,999.1,144.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10224,Bremen,Winter,2.7,1.3,4.6,0.3,0.0,312.0,18.7,60.5,1001.7,198.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10400,Düsseldorf,Winter,3.5,1.2,5.5,0.6,0.0,309.0,16.6,56.2,1006.3,126.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10554,Erfurt,Winter,1.4,-0.4,3.4,0.3,0.0,310.0,21.6,45.4,999.8,60.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10147,Hamburg,Winter,2.1,0.3,3.3,0.1,0.0,312.0,14.8,41.4,1000.9,276.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10338,Hanover,Winter,2.1,0.4,3.8,0.8,0.0,305.0,17.3,40.7,1001.2,180.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10361,Magdeburg,Winter,1.6,-2.1,4.1,0.2,0.0,314.0,9.4,41.4,998.9,114.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10865,Munich,Winter,3.0,-0.5,8.1,3.0,0.0,290.0,15.5,48.2,1000.3,0.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10379,Potsdam,Winter,0.9,-2.9,3.3,2.3,10.0,318.0,15.1,47.9,995.3,0.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10162,Schwerin,Winter,0.6,-3.1,2.6,0.1,0.0,322.0,12.6,42.1,998.3,36.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10739,Stuttgart,Winter,2.8,-0.7,7.2,0.2,0.0,301.0,19.1,63.4,1002.9,18.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10091,Malmö,Winter,0.6,-1.5,2.7,0.2,0.0,323.0,15.8,44.6,997.6,0.0
2013-02-02,Wales,Ireland,22,30,2013 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False,10929,Frauenfeld,Winter,3.3,0.5,8.4,3.7,0.0,319.0,9.0,42.8,1002.7,0.0
